"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Dragon Ball Z Kai: Season 1, Part 5 (Blu-ray)","FUNimation",,"Out","SUB","4:3, BLU-RAY",34.98,"MA13","2009","Anime","1.33:1","704400087899",2011-06-28 00:00:00,199073,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 6","FUNimation",,"Discontinued","SUB","4:3",29.98,"MA13","2009","Anime","1.33:1","704400087905",2011-09-13 00:00:00,210247,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 6 (Blu-ray)","FUNimation",,"Out","SUB","4:3, BLU-RAY",34.98,"MA13","2009","Anime","1.33:1","704400087912",2011-09-13 00:00:00,210236,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 7","FUNimation",,"Out","SUB","4:3",29.98,"NR","2009","Anime","1.33:1","704400087929",2012-03-20 00:00:00,220963,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 7 (Blu-ray)","FUNimation",,"Out","SUB","4:3, BLU-RAY",34.98,"NR","2009","Anime","1.33:1","704400087936",2012-03-20 00:00:00,220964,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 8","FuNimation",,"Out","SUB","4:3",29.98,"MA13","2009","Anime","1.33:1","704400087943",2012-06-05 00:00:00,225499,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 1, Part 8 (Blu-ray)","FuNimation",,"Out","SUB","4:3, BLU-RAY",34.98,"MA13","2009","Anime","1.33:1","704400087950",2012-06-05 00:00:00,225505,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 2","FUNimation",,"Out","SUB","4:3",49.98,"MA13","2010","Anime","1.33:1","704400088940",2012-05-22 00:00:00,224064,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 2 (Blu-ray)","FUNimation",,"Out","SUB","4:3, BLU-RAY",54.98,"MA13","2010","Anime","1.33:1","704400088957",2012-05-22 00:00:00,224052,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 3","FUNimation",,"Out","SUB","4:3",49.98,"MA13","2010","Anime","1.33:1","704400087981",2012-09-11 00:00:00,229964,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 3 (Blu-ray)","FUNimation",,"Out","SUB","4:3, BLU-RAY",54.98,"MA13","2010","Anime","1.33:1","704400087998",2012-09-11 00:00:00,230055,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 4","FUNimation",,"Out","SUB","4:3",49.98,"MA13","2011","Anime","1.33:1","704400088346",2013-03-12 00:00:00,239771,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: Season 4 (Blu-ray)","FUNimation",,"Out","SUB","4:3, BLU-RAY",54.98,"MA13","2011","Anime","1.33:1","704400088353",2013-03-12 00:00:00,239890,2017-01-26 00:00:00,"1"
"Dragon Ball Z Kai: The Final Chapters: Part 1","FUNimation",2017-04-25 00:00:00,"Pending","SUB","4:3",49.98,"MA13","2014","Anime","1.33:1","704400016363",2017-04-25 00:00:00,298447,2017-01-26 00:00:00,"0"
"Dragon Ball Z Kai: The Final Chapters: Part 1 (Blu-ray)","FUNimation",2017-04-25 00:00:00,"Pending","SUB","4:3, BLU-RAY",54.98,"MA13","2014","Anime","1.33:1","704400016370",2017-04-25 00:00:00,298471,2017-01-26 00:00:00,"0"
"Dwayne Johnson Action Collection: Hercules / Pain & Gain / Gi Joe: Retaliation","Paramount",,"Out","5.1","LBX, 16:9",16.99,"VAR","VAR","VAR","2.35:1","032429261304",2017-01-24 00:00:00,295506,2017-01-24 00:00:00,"1"
"Easy To Love (Archive Collection/ On Demand DVD-R)","Warner Brothers Digital Dist.",2017-01-31 00:00:00,"Pending","2.0","4:3",21.99,"NR","1934","Comedy","1.33:1","888574460310",2017-01-31 00:00:00,298417,2017-01-26 00:00:00,"0"
"Eat-Man '98: Complete Series","Discotek Media",2017-01-31 00:00:00,"Pending","SUB","4:3",39.95,"MA13","1998","Anime","1.33:1","875707082020",2017-01-31 00:00:00,298462,2017-01-26 00:00:00,"0"
"Eddie Murphy 4-Film Collection: Coming To America / Harlem Nights / Norbit / Boomerang (1992)","Paramount",,"Out","5.1","LBX, 16:9",14.99,"VAR","VAR","Comedy","1.85:1","032429261441",2017-01-24 00:00:00,296640,2017-01-24 00:00:00,"1"
"Erotic Catfights, Vol. 1: Topless Edition","ZYX Music",,"Out","2.0","4:3",9.99,"UR","UNK","Late Night","1.33:1","090204911394",2007-01-26 00:00:00,298423,2017-01-26 00:00:00,"0"
"Erotic Catfights, Vol. 2: Asian Cuties Edition","ZYX Music",,"Out","2.0","4:3",9.99,"UR","UNK","Late Night","1.33:1","090204911400",2007-01-26 00:00:00,298432,2017-01-26 00:00:00,"0"
"Erotic Catfights, Vol. 3: Vicious Vixens Edition","ZYX Music",,"Out","2.0","4:3",9.99,"UR","UNK","Late Night","1.33:1","090204911431",2007-01-26 00:00:00,298436,2017-01-26 00:00:00,"0"
"Erotic Catfights, Vol. 4: Down & Dirty Edition","ZYX Music",,"Out","2.0","4:3",9.99,"UR","UNK","Late Night","1.33:1","090204911448",2007-01-26 00:00:00,298415,2017-01-26 00:00:00,"0"
"Every Christmas Has A Story","Hallmark Entertainment",,"Out","2.0","LBX, 16:9",14.93,"NR","2016","Comedy","1.78:1","883476151663",2017-01-03 00:00:00,298494,2017-01-29 00:00:00,"0"
"Fair Haven","Breaking Glass Pictures",2017-03-07 00:00:00,"Pending","2.0","4:3",24.99,"NR","2016","Family","1.33:1","855114005966",2017-03-07 00:00:00,298408,2017-01-24 00:00:00,"0"
"Fast And The Fierce","Asylum Home Entertainment",2017-04-04 00:00:00,"Pending","2.0","LBX, 16:9",14.93,"NR","UNK","Action/Adventure","1.85:1","883476152202",2017-04-04 00:00:00,298478,2017-01-29 00:00:00,"0"
"Fergie: The Downfall Of A Duchess  (On Demand DVD-R)","FilmRise",,"Out","2.0","4:3",11.95,"NR","1997","Documentary","1.33:1","191091349113",2016-12-13 00:00:00,298300,2017-01-26 00:00:00,"1"
"Ferris Bueller's Day Off (Paramount)","Paramount",,"Out","5.1","LBX, 16:9",6.99,"PG-13","1986","Comedy","2.35:1","032429256782",2017-01-24 00:00:00,296587,2017-01-24 00:00:00,"1"
"Ferris Bueller's Day Off (Paramount/ Blu-ray)","Paramount",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",12.99,"PG-13","1986","Comedy","2.35:1","032429256799",2017-01-24 00:00:00,296612,2017-01-24 00:00:00,"1"
"Fighter (2010/ Paramount)","Paramount",,"Out","5.1","LBX, 16:9",6.99,"R","2010","Drama","2.35:1","032429256805",2017-01-24 00:00:00,296604,2017-01-24 00:00:00,"1"
"First Wives Club (Paramount)","Paramount",,"Out","5.1","LBX, 16:9",6.99,"PG","1996","Comedy","1.85:1","032429256829",2017-01-24 00:00:00,296557,2017-01-24 00:00:00,"1"
"Flight (2012/ Paramount)","Paramount",,"Out","5.1","LBX, 16:9",6.99,"R","2012","Drama","2.35:1","032429256850",2017-01-24 00:00:00,296595,2017-01-24 00:00:00,"1"
"Flight (2012/ Paramount/ Blu-ray)","Paramount",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",12.99,"R","2012","Drama","2.35:1","032429256867",2017-01-24 00:00:00,296553,2017-01-24 00:00:00,"1"
"Flight 313: Conspiracy","Monarch",,"Out","2.0","LBX, 16:9",19.95,"NR","2015","Suspense/Thriller","2.35:1","723952079473",2017-01-24 00:00:00,297007,2017-01-24 00:00:00,"1"
"Footloose (1984/ Paramount)","Paramount",,"Out","5.1","LBX, 16:9",6.99,"PG","1984","Drama","1.85:1","032429256874",2017-01-24 00:00:00,296552,2017-01-24 00:00:00,"1"
"Footloose (1984/ Paramount) / Footloose (2011)","Paramount",,"Out","5.1","LBX, 16:9",12.99,"VAR","VAR","VAR","VAR","032429261489",2017-01-24 00:00:00,296661,2017-01-24 00:00:00,"1"
"Footloose (2011/ Paramount)","Paramount",,"Out","5.1","LBX, 16:9",6.99,"PG-13","2011","Comedy","2.35:1","032429256898",2017-01-24 00:00:00,296558,2017-01-24 00:00:00,"1"
"For The Ladies 2-Movie Collection","Paramount",,"Out","2.0","LBX, 16:9",12.99,"VAR","VAR","Drama","VAR","032429261281",2017-01-24 00:00:00,295507,2017-01-24 00:00:00,"1"
"For The Ladies 5-Film Collection","Paramount",,"Out","2.0","LBX, 16:9",16.99,"VAR","VAR","Drama","VAR","032429261274",2017-01-24 00:00:00,295505,2017-01-24 00:00:00,"1"
"Forrest Gump (Paramount)","Paramount",,"Out","5.1","LBX, 16:9",12.99,"PG-13","1994","Comedy","2.35:1","032429256911",2017-01-24 00:00:00,296585,2017-01-24 00:00:00,"1"
"Forrest Gump (Paramount/ Blu-ray)","Paramount",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",15.99,"PG-13","1994","Comedy","2.35:1","032429256928",2017-01-24 00:00:00,296559,2017-01-24 00:00:00,"1"
"Four Brothers (Paramount/ Widescreen)","Paramount",,"Out","5.1","LBX, 16:9",6.99,"R","2005","Action/Adventure","1.85:1","032429256935",2017-01-24 00:00:00,296582,2017-01-24 00:00:00,"1"
"Galaxy Railways: Complete OVA Series","Discotek Media",2017-01-31 00:00:00,"Pending","SUB","4:3",19.95,"MA13","2006","Anime","1.33:1","875707152020",2017-01-31 00:00:00,298464,2017-01-26 00:00:00,"0"
